"rfam_acc","description","clen"
"RF01088","Pseudoknot of tRNA-like structure",68
"RF01543","Trypanosomatid snoRNA TB11Cs5H2",68
"RF01554","Trypanosomatid snoRNA TB9Cs2H1",68
"RF01555","Trypanosomatid snoRNA TB9Cs3H1",68
"RF01642","Caenorhabditis snoRNA ceN54",68
"RF01781","ASdes TB sRNA",68
"RF02063","Salmonella enterica sRNA STnc350",68
"RF02218","ZNRD1 antisense RNA 1 conserved region 1",68
"RF02266","XIST 3' intron conserved motif",68
"RF02293","Tetrahymena snoRNA TtnuCD17",68
"RF02478","Small nucleolar RNA GlsR10",68
"RF02480","Small nucleolar RNA GlsR14",68
"RF00057","RyhB RNA",67
"RF00109","Vimentin 3' UTR protein-binding region",67
"RF00276","Small nucleolar RNA SNORD52",67
"RF00490","S-element",67
"RF00570","Small Nucleolar RNA SNORD64",67
"RF00752","microRNA mir-14",67
"RF00783","microRNA mir-484",67
"RF01022","microRNA mir-611",67
"RF01137","Small nucleolar RNA sR21",67
"RF01153","Small nucleolar RNA sn3060",67
"RF01277","Small nucleolar RNA U54",67
"RF01278","Small nucleolar RNA SNORD109A",67
"RF01533","Trypanosomatid snoRNA TB10Cs4H3",67
"RF01613","Nematode snoRNA ceN109",67
"RF01690","Bacillaceae-1 RNA",67
"RF01696","Chlorobi-1 RNA",67
"RF01763","Guanidine-III riboswitch",67
"RF01798","G2",67
"RF01862","Trypanosomatid snoRNA TB10Cs4H2",67
"RF01863","Trypanosomatid snoRNA TB10Cs2H2",67
"RF01939","microRNA mir-761",67
"RF02028","microRNA mir-1827",67
"RF02087","Yellow-achaete intergenic RNA conserved region 3",67
"RF02264","MAT2A 3'UTR stem loop E",67
"RF02276","Hammerhead ribozyme (type II)",67
"RF02305","Tetrahymena snoRNA TtnuCD31",67
"RF02419","Streptococcus sRNA Spd-sr37",67
"RF02548","Oocyte entry signal (OES) from oskar mRNA",67
"RF03017","RT-13 RNA",67
"RF03002","lysM-Prevotella RNA",66
"RF03013","nadA RNA",66
"RF00365","mir-BHRF1-1 microRNA precursor family",66
"RF00630","Pseudomonas sRNA P26",66
"RF00741","microRNA mir-378",66
"RF00994","microRNA mir-1255",66
"RF01077","Pseudoknot of tRNA-like structure",66
"RF01090","Edr gene ribosomal frameshift signal",66
"RF01155","Small nucleolar RNA snoR101",66
"RF01157","Small nucleolar RNA sn1185",66
"RF01525","Trypanosomatid snoRNA TB10Cs2H1",66
"RF01534","Trypanosomatid snoRNA TB10Cs4H4",66
"RF01546","Trypanosomatid snoRNA TB6Cs1H1",66
"RF01559","Dictyostelium snoRNA DdR1",66
"RF01688","Actino-pnp RNA",66
"RF01813","rdlD antitoxin",66
"RF01826","SAM-V riboswitch",66
"RF01935","Bithoraxoid conserved region 7",66
"RF01991","Selenocysteine insertion sequence 5",66
"RF02147","Maternally expressed 8 exon 3",66
"RF02265","MAT2A 3'UTR stem loop F",66
"RF02296","Tetrahymena snoRNA TtnuCD20",66
"RF02389","Staphylococcus sRNA sau-31",66
"RF00070","Small nucleolar RNA SNORD29",65
"RF00151","Small nucleolar RNA SNORD58",65
"RF00227","FIE3 (ftz instability element 3') element",65
"RF00323","Small nucleolar RNA R79",65
"RF00366","mir-BHRF1-2 microRNA precursor family",65
"RF00367","mir-BHRF1-3 microRNA precursor family",65
"RF00382","DnaX ribosomal frameshifting element",65
"RF00440","Small nucleolar RNA SNORD37",65
"RF00468","Hepatitis C virus stem-loop VII",65
"RF00592","Small nucleolar RNA SNORD78",65
"RF00607","Small nucleolar RNA SNORD98",65
"RF00731","microRNA mir-155",65
"RF01146","Small nucleolar RNA sR15",65
"RF01162","Small nucleolar RNA sn668",65
"RF01300","Small nucleolar RNA U49",65
"RF01403","STnc290 Hfq binding RNA",65
"RF01516","Human herpesvirus 1 small nucleolar RNA",65
"RF01544","Trypanosomatid snoRNA TB11Cs5H3",65
"RF01549","Trypanosomatid snoRNA TB8Cs2H1",65
"RF01553","Trypanosomatid snoRNA TB9Cs1H3",65
"RF01564","D. discoideum snoRNA DdR14",65
"RF01648","Caenorhabditis snoRNA ceN65",65
"RF01795","FourU thermometer RNA element",65
"RF02027","microRNA MIR2907",65
"RF02260","MAT2A 3'UTR stem loop A",65
"RF02291","Tetrahymena snoRNA TtnuCD15",65
"RF02297","Tetrahymena snoRNA TtnuCD21",65
"RF02677","Nitrogen stress-induced RNA 4",65
"RF02805","Pyrobaculum sRNA 207",65
"RF02807","Pyrobaculum sRNA 209",65
"RF02931","Bacilli-1 RNA",65
"RF02971","emrB-Lactobacillus RNA",65
"RF02753","ES173 sRNA",64
"RF02831","Streptomyces RNA 2736",64
"RF02844","Enterococcus sRNA A9",64
"RF02948","cow-rumen-4 RNA",64
"RF02950","D12-methyl RNA",64
"RF03075","DUF3800-VIII RNA",64
"RF00031","Selenocysteine insertion sequence 1",64
"RF00161","Nanos 3' UTR translation control element",64
"RF00221","Small nucleolar RNA SNORD43",64
"RF00505","RydC RNA",64
"RF01307","Small nucleolar RNA sR55",64
"RF01540","Trypanosomatid snoRNA TB11Cs4H2",64
"RF01547","Trypanosomatid snoRNA TB6Cs1H3",64
"RF01686","Acido-1 RNA",64
"RF02261","MAT2A 3'UTR stem loop B",64
"RF02278","Betaproteobacteria toxic small RNA",64
"RF02303","Tetrahymena snoRNA TtnuCD28",64
"RF02308","Tetrahymena snoRNA TtnuCD34",64
"RF02388","Staphylococcus sRNA sau-30",64
"RF00066","U7 small nuclear RNA",63
"RF00282","Small nucleolar RNA SNORD48",63
"RF00341","Small nucleolar RNA Z39",63
"RF00743","microRNA mir-308",63
"RF00756","microRNA mir-299",63
"RF01127","Small nucleolar RNA sR42",63
"RF01142","Small nucleolar RNA sR19",63
"RF01510","M. florum riboswitch",63
"RF01523","Trypanosomatid snoRNA TB10Cs1H2",63
"RF01550","Trypanosomatid snoRNA TB8Cs3H1",63
"RF01556","Trypanosomatid snoRNA TB9Cs3H2",63
"RF01618","Nematode snoRNA ceN114",63
"RF01711","Lnt RNA",63
"RF01734","Fluoride riboswitch",63
"RF01861","Trypanosomatid snoRNA TB9Cs1H1",63
"RF02153","Neighbour of BRCA1 gene 2 converved region",63
"RF02279","Tetrahymena snoRNA TtnuCD1",63
"RF02289","Tetrahymena snoRNA TtnuCD13",63
"RF02418","Streptococcus sRNA Spd-sr07",63
"RF02451","Bacillus sRNA ncr1241",63
"RF02470","Mycobacterium sRNA Ms_IGR-8",63
"RF02592","S. pyogenes antisense RNA 392987",63
"RF03084","DUF2815 RNA",63
"RF02702","Anti GcvB sRNA",62
"RF02885","SAM-VI riboswitch",62
"RF02979","freshwater-1 RNA",62
"RF03003","GP20-b RNA",62
"RF00118","rydB RNA",62
"RF00237","mir-9/mir-79 microRNA precursor family",62
"RF00364","mir-BART2 microRNA precursor family",62
"RF00384","Poxvirus AX element late mRNA cis-regulatory element",62
"RF00612","Small nucleolar RNA SNORD75",62
"RF00681","microRNA mir-198",62
"RF00940","microRNA mir-327",62
"RF01073","Gag/pol translational readthrough site",62
"RF01531","Trypanosomatid snoRNA TB10Cs3H1",62
"RF01557","Trypanosomatid snoRNA TB9Cs4H1",62
"RF01677","Pseudomonas sRNA P35",62
"RF01678","Pseudomonas sRNA P37",62
"RF01768","ribosomal frameshift site",62
"RF01810","pntA sRNA",62
"RF00048","Enterovirus cis-acting replication element",61
"RF00165","Coronavirus 3' UTR pseudoknot",61
"RF00250","Trans-activation response element (TAR)",61
"RF00287","Small nucleolar RNA SNORD44",61
"RF00890","microRNA mir-668",61
"RF01047","HBV RNA encapsidation signal epsilon",61
"RF01091","3'-terminal pseudoknot in SPCSV",61
"RF01092","Gag/pol translational readthrough site",61
"RF01297","Small nucleolar RNA sR40",61
"RF01679","Pseudomonas sRNA P36",61
"RF01691","Bacillus-plasmid RNA",61
"RF01738","gabT RNA",61
"RF01739","Glutamine riboswitch",61
"RF01783","Mycobacterium B11",61
"RF01962","Rhabdomyosarcoma 2 associated transcript conserved region 1",61
"RF01985","ZEB2 antisense RNA 1 conserved region 2",61
"RF02067","Salmonella enterica sRNA STnc310",61
"RF02473","Small nucleolar RNA GlsR4",61
"RF02803","Pyrobaculum sRNA 205",61
"RF02804","Pyrobaculum sRNA 206",61
"RF02918","MDR-NUDIX RNA",61
"RF02927","Actino-ugpB RNA",61
"RF02946","cow-rumen-1 RNA",61
"RF03042","porB RNA",61
"RF03054","NMT1 RNA",61
"RF02806","Pyrobaculum sRNA 208",60
"RF03067","terC RNA",60
"RF00131","mir-30 microRNA precursor",60
"RF00555","Ribosomal protein L13 leader",60
"RF00847","microRNA mir-62",60
"RF00955","microRNA mir-1829",60
"RF01093","Ma3 gene ribosomal frameshift signal",60
"RF01276","Small nucleolar RNA sR53",60
"RF01704","Downstream peptide RNA",60
"RF01722","Pyrobac-1 RNA",60
"RF01726","SAM-II long loop",60
"RF01747","msiK RNA",60
"RF01753","psbNH RNA",60
"RF01817","RNA Staph. aureus A",60
"RF02056","Salmonella sRNA STnc390",60
"RF02136","HTT antisense RNA 1 conserved region 3",60
"RF02281","Tetrahymena snoRNA TtnuCD4",60
"RF02399","Nitrogen stress-induced RNA 1",60
"RF00381","Antizyme RNA frameshifting stimulation element",59
"RF00454","p27 cis-regulatory element",59
"RF00465","Japanese encephalitis virus (JEV) hairpin structure",59
"RF00832","microRNA mir-71",59
"RF01116","Cyanobacterial functional RNA 1",59
"RF01121","Small nucleolar RNA sR38",59
"RF01132","Small nucleolar RNA sR48",59
"RF01306","Small nucleolar RNA sR52",59
"RF01571","D. discoideum class II sRNA",59
"RF01667","Drosophila rox1 ncRNA",59
"RF01804","Lambda phage CIII thermoregulator element",59
"RF01977","HOX antisense intergenic RNA myeloid 1 conserved region 3",59
"RF01989","Selenocysteine insertion sequence 3",59
"RF02285","Tetrahymena snoRNA TtnuCD8",59
"RF02396","Staphylococcus sRNA sau-5949",59
"RF02475","Small nucleolar RNA GlsR6",59
"RF02476","Small nucleolar RNA GlsR7",59
"RF02699","Avashort 5' UTR thermometer",59
"RF02808","Pyrobaculum sRNA 210",59
"RF03014","Transposase-1 RNA",59
"RF03024","Rothia-sucC RNA",59
"RF03055","RAGATH-30 RNA",59
"RF03093","queA RNA",59
"RF00008","Hammerhead ribozyme (type III)",58
"RF00095","Pyrococcus C/D box small nucleolar RNA",58
"RF01078","3'-terminal pseudoknot in PYVV",58
"RF01275","Small nucleolar RNA sR22",58
"RF01310","Small nucleolar RNA sR7",58
"RF01414","Class I RNA",58
"RF01519","Caulobacter sRNA CC0196",58
"RF01709","Lacto-rpoB RNA",58
"RF01791","F6 TB sRNA",58
"RF02054","Salmonella enterica sRNA STnc420",58
"RF02108","Deleted in lymphocytic leukemia 2 conserved region 4",58
"RF02292","Tetrahymena snoRNA TtnuCD16",58
"RF02294","Tetrahymena snoRNA TtnuCD18",58
"RF02300","Tetrahymena snoRNA TtnuCD24",58
"RF02401","ClpQY promoter",58
"RF02441","Streptococcus sRNA SpF61",58
"RF01119","Small nucleolar RNA sR32",57
"RF01123","Small nucleolar RNA sR35",57
"RF01128","Small nucleolar RNA sR42",57
"RF01134","Small nucleolar RNA sR30",57
"RF01139","Small nucleolar RNA sR2",57
"RF01150","Small nucleolar RNA sR11",57
"RF01152","Small nucleolar RNA sR1",57
"RF01313","Avian HBV RNA encapsidation signal epsilon",57
"RF01933","Bithoraxoid conserved region 5",57
"RF02040","HOXA transcript at the distal tip, conserved region 1",57
"RF02051","Enterobacterial sRNA STnc450",57
"RF02427","Streptococcus sRNA SpF10",57
"RF02440","Streptococcus sRNA SpF59 (ldcC RNA)",57
"RF02793","Pyrobaculum asRNA3",57
"RF02795","Pab91 RNA",57
"RF02802","Pyrobaculum sRNA 204",57
"RF02907","patAB leader",57
"RF02684","Type-P5 twister ribozyme",56
"RF03030","salivarius-1 RNA",56
"RF03057","nhaA-I RNA",56
"RF03058","sul1 RNA",56
"RF01020","microRNA mir-572",56
"RF01095","3'-terminal pseudoknot of CuYV/BPYV",56
"RF01096","HepA virus 3'-terminal pseudoknot",56
"RF01122","Small nucleolar RNA sR39",56
"RF01125","Small nucleolar RNA sR4",56
"RF01130","Small nucleolar RNA sR46",56
"RF01140","Small nucleolar RNA sR20",56
"RF01141","Small nucleolar RNA sR18",56
"RF01303","Small nucleolar RNA sR49",56
"RF01305","Small nucleolar RNA sR51",56
"RF01684","MALAT1-associated small cytoplasmic RNA/MEN beta RNA",56
"RF01762","Whalefall-1 RNA",56
"RF02117","FMR1 antisense RNA 1 conserved region 1",56
"RF02596","Cyanobacteria heterocyst sRNA",56
"RF00192","Bovine leukaemia virus RNA packaging signal",55
"RF01120","Small nucleolar RNA sR33",55
"RF01124","Small nucleolar RNA sR36",55
"RF01129","Small nucleolar RNA sR44",55
"RF01131","Small nucleolar RNA sR47",55
"RF01133","Small nucleolar RNA sR3",55
"RF01135","Small nucleolar RNA sR24",55
"RF01136","Small nucleolar RNA sR28",55
"RF01144","Small nucleolar RNA sR17",55
"RF01147","Small nucleolar RNA sR12",55
"RF01151","Small nucleolar RNA U82P",55
"RF01274","Small nucleolar RNA sR45",55
"RF01308","Small nucleolar RNA sR58",55
"RF01309","Small nucleolar RNA sR60",55
"RF01312","Small nucleolar RNA sR9",55
"RF01833","ribosomal frameshift site",55
"RF01988","Selenocysteine insertion sequence 2",55
"RF02066","Salmonella enterica sRNA STnc320",55
"RF02286","Tetrahymena snoRNA TtnuCD9",55
"RF03071","DUF1646 RNA",55
"RF02838","Enterococcus sRNA 55",54
"RF02940","COG3860 RNA",54
"RF03006","M23 RNA",54
"RF03101","RAGATH-31 RNA",54
"RF00184","Potato virus X cis-acting regulatory element",54
"RF00436","UnaL2 LINE 3' element",54
"RF01138","Small nucleolar RNA sR23",54
"RF01145","Small nucleolar RNA sR14",54
"RF01149","Small nucleolar RNA sR10",54
"RF01273","Small nucleolar RNA sR34",54
"RF01803","Editing element of GABA-3 exon 9",54
"RF01840","ribosomal frameshift element",54
"RF00462","APC internal ribosome entry site (IRES)",53
"RF00999","microRNA mir-924",53
"RF01126","Small nucleolar RNA sR41",53
"RF01143","Small nucleolar RNA sR16",53
"RF01304","Small nucleolar RNA sR5",53
"RF01829","sR6 snoRNA",53
"RF02398","Staphylococcus sRNA sau-6072",53
"RF02685","RAGATH-5 RNA",53
"RF02703","Anti stx2 sRNA",53
"RF02750","ES003 sRNA",53
"RF03001","leuA-Halobacteria RNA",53
"RF03012","Mu-gpT-DE RNA",53
"RF02915","DUF3800-VI RNA",52
"RF02925","6A RNA",52
"RF02929","algC RNA",52
"RF00039","DicF RNA",52
"RF00173","Hairpin ribozyme",52
"RF00480","HIV Ribosomal frameshift signal",52
"RF00517","serC leader",52
"RF00951","microRNA mir-1302",52
"RF01097","Gag/pro ribosomal frameshift site",52
"RF01793","ffh sRNA",52
"RF01890","LincRNA-p21 conserved region 2",52
"RF02262","MAT2A 3'UTR stem loop C",52
"RF02534","Norovirus cis-acting replication element (CRE)",52
"RF00260","Hepatitis C virus (HCV) cis-acting replication element (CRE)",51
"RF01388","isrD Hfq binding RNA",51
"RF02416","Turnip crinkle virus 3'UTR",51
"RF02433","Streptococcus sRNA SpF36",51
"RF02888","Bacillus sRNA 1",51
"RF03010","mcrA RNA",51
"RF03086","chrB-b RNA",51
"RF03008","malK-II RNA",50
"RF03050","RAGATH-25 RNA",50
"RF03111","Zeta-pan RNA",50
"RF01098","Gag/pro ribosomal frameshift site",50
"RF02372","PyrC leader",50
"RF01727","SAM/SAH riboswitch",49
"RF02098","DiGeorge syndrome critical region gene 5 conserved region",49
"RF02224","Xanthomonadaceae sRNA sX5",49
"RF02358","Hsp17 thermometer",49
"RF02584","KRAS 3' UTR cis-regulatory element",49
"RF02926","DUF2693-FD RNA",49
"RF03070","ssNA-helicase RNA",49
"RF02975","DUF3800-XI RNA",48
"RF02990","gut-2 RNA",48
"RF03031","ssnA RNA",48
"RF03059","raiA-hairpin RNA",48
"RF03060","uup RNA",48
"RF01068","Guanidine-II riboswitch",48
"RF01099","Pseudoknot of influenza A virus gene",48
"RF01362","CRISPR RNA direct repeat element",47
"RF01737","flpD RNA",47
"RF02182","ST7 antisense RNA 2 conserved region 2",47
"RF02444","Streptococcus sRNA SpR10",47
"RF00032","Histone 3' UTR stem-loop",46
"RF00163","Hammerhead ribozyme (type I)",46
"RF00489","ctRNA",46
"RF01232","Small nucleolar RNA R442",46
"RF01363","CRISPR RNA direct repeat element",46
"RF01687","Acido-Lenti-1 RNA",46
"RF01713","Moco-II RNA",46
"RF02044","CDKN2B antisense RNA 1 convserved region 2",46
"RF02700","HtrA 5' UTR thermometer",46
"RF02765","Yersinia sRNA 209",46
"RF02939","COG2908 RNA",45
"RF00498","Equine arteritis virus leader TRS hairpin (LTH)",45
"RF00500","Turnip crinkle virus (TCV) repressor of minus strand synthesis H5",45
"RF00522","PreQ1 riboswitch",45
"RF00617","flavivirus capsid hairpin cHP",45
"RF01835","ribosomal frameshift site",45
"RF02438","Streptococcus sRNA SpF51",45
"RF02448","Streptococcus sRNA SpR20",45
"RF02465","Mycobacterium sRNA Ms_AS-5",45
"RF00207","K10 transport/localisation element (TLS)",44
"RF01046","Wingless localisation element 3 (WLE3)",44
"RF01716","PhotoRC-I RNA",44
"RF01748","nuoG RNA",44
"RF02624","Brucella sRNA 150",44
"RF00164","Coronavirus 3' stem-loop II-like motif (s2m)",43
"RF01790","ribosomal frameshift site",43
"RF02726","Small nucleolar RNA ZL63",43
"RF02751","ES036 (CssrF) sRNA",43
"RF00385","Infectious bronchitis virus D-RNA",42
"RF00496","Coronavirus SL-III cis-acting replication element (CRE)",42
"RF00556","Ribosomal protein L19 leader",42
"RF02263","MAT2A 3'UTR stem loop D",41
"RF03092","Ocean-VII RNA",41
"RF00175","Human immunodeficiency virus type 1 dimerisation initiation site",40
"RF00523","Prion pseudoknot",40
"RF01074","Putative RNA-dependent RNA polymerase ribosomal frameshift site",40
"RF01100","3'-terminal pseudoknot in BYV",40
"RF01101","Pseudoknot of tRNA-like structure",40
"RF01843","neiserria ribosomal frameshift element",40
"RF01079","Putative RNA-dependent RNA polymerase ribosomal frameshift site",39
"RF02977","folE RNA",39
"RF01341","CRISPR RNA direct repeat element",38
"RF01359","CRISPR RNA direct repeat element",38
"RF01364","CRISPR RNA direct repeat element",38
"RF01707","JUMPstart RNA",38
"RF01990","Selenocysteine insertion sequence 4",38
"RF02129","GNAS antisense RNA 1 conserved region 3",38
"RF02468","Mycobacterium sRNA Ms_IGR-4",38
"RF00180","Renin stability regulatory element (REN-SRE)",37
"RF00469","Hepatitis C stem-loop IV",37
"RF01102","5'-leader pseudoknot of TEV/CVMV",37
"RF01318","CRISPR RNA direct repeat element",37
"RF01320","CRISPR RNA direct repeat element",37
"RF01321","CRISPR RNA direct repeat element",37
"RF01322","CRISPR RNA direct repeat element",37
"RF01323","CRISPR RNA direct repeat element",37
"RF01329","CRISPR RNA direct repeat element",37
"RF01330","CRISPR RNA direct repeat element",37
"RF01331","CRISPR RNA direct repeat element",37
"RF01332","CRISPR RNA direct repeat element",37
"RF01334","CRISPR RNA direct repeat element",37
"RF01340","CRISPR RNA direct repeat element",37
"RF01342","CRISPR RNA direct repeat element",37
"RF01343","CRISPR RNA direct repeat element",37
"RF01357","CRISPR RNA direct repeat element",37
"RF01360","CRISPR RNA direct repeat element",37
"RF01361","CRISPR RNA direct repeat element",37
"RF01365","CRISPR RNA direct repeat element",37
"RF01366","CRISPR RNA direct repeat element",37
"RF01367","CRISPR RNA direct repeat element",37
"RF01368","CRISPR RNA direct repeat element",37
"RF01369","CRISPR RNA direct repeat element",37
"RF01370","CRISPR RNA direct repeat element",37
"RF01371","CRISPR RNA direct repeat element",37
"RF01373","CRISPR RNA direct repeat element",37
"RF01374","CRISPR RNA direct repeat element",37
"RF01375","CRISPR RNA direct repeat element",37
"RF01376","CRISPR RNA direct repeat element",37
"RF01377","CRISPR RNA direct repeat element",37
"RF01378","CRISPR RNA direct repeat element",37
"RF01379","CRISPR RNA direct repeat element",37
"RF01904","HOTAIR conserved region 1",37
"RF02162","XIST RNA A repeat",37
"RF03085","abiF RNA",37
"RF02914","DUF805b RNA",36
"RF00037","Iron response element I",36
"RF01324","CRISPR RNA direct repeat element",36
"RF01333","CRISPR RNA direct repeat element",36
"RF01335","CRISPR RNA direct repeat element",36
"RF01336","CRISPR RNA direct repeat element",36
"RF01344","CRISPR RNA direct repeat element",36
"RF01345","CRISPR RNA direct repeat element",36
"RF01346","CRISPR RNA direct repeat element",36
"RF02359","Bacteriophage MS2 operator hairpin",36
"RF00196","Alfalfa mosaic virus RNA 1 5' UTR stem-loop",35
"RF01347","CRISPR RNA direct repeat element",35
"RF01348","CRISPR RNA direct repeat element",35
"RF01792","ribosomal frameshift site",35
"RF01834","ribosomal frameshift site",35
"RF00502","Turnip crinkle virus (TCV) core promoter hairpin (Pr)",34
"RF02519","ToxI antitoxin",34
"RF00453","Cardiovirus cis-acting replication element (CRE)",33
"RF01080","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",32
"RF02597","shuA/chuA 5' UTR thermoregulator",32
"RF01072","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",31
"RF01358","CRISPR RNA direct repeat element",31
"RF02253","Iron response element II",31
"RF01315","CRISPR RNA direct repeat element",30
"RF01316","CRISPR RNA direct repeat element",30
"RF01319","CRISPR RNA direct repeat element",30
"RF01325","CRISPR RNA direct repeat element",30
"RF01326","CRISPR RNA direct repeat element",30
"RF01337","CRISPR RNA direct repeat element",30
"RF01349","CRISPR RNA direct repeat element",30
"RF02588","Hepatitis C virus RNA packaging signal 6067",30
"RF01103","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",29
"RF01104","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",29
"RF01327","CRISPR RNA direct repeat element",29
"RF01350","CRISPR RNA direct repeat element",29
"RF01351","CRISPR RNA direct repeat element",29
"RF01352","CRISPR RNA direct repeat element",29
"RF01837","togavirus ribosomal frameshift element",29
"RF02585","Hepatitis C virus RNA packaging signal",29
"RF01317","CRISPR RNA direct repeat element",28
"RF01353","CRISPR RNA direct repeat element",28
"RF01105","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",27
"RF01107","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",27
"RF01785","ribosomal frameshift site",27
"RF01836","ribosomal frameshift site",27
"RF01081","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",26
"RF01108","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",26
"RF02586","Hepatitis C virus RNA packaging signal 733",26
"RF01082","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",25
"RF01106","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",25
"RF01328","CRISPR RNA direct repeat element",25
"RF01338","CRISPR RNA direct repeat element",25
"RF01339","CRISPR RNA direct repeat element",25
"RF01355","CRISPR RNA direct repeat element",25
"RF01354","CRISPR RNA direct repeat element",24
"RF01356","CRISPR RNA direct repeat element",24
"RF00390","UPSK RNA",23
"RF01113","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",23
"RF01381","HIV-1 stem-loop 3 Psi packaging signal",23
"RF02587","Hepatitis C virus RNA packaging signal 4629",23
"RF01114","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",22
"RF01083","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",21
"RF01109","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",21
"RF01111","Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR",21
"RF01382","HIV-1 stem-loop 4 packaging signal",20
"RF01380","Human immunodeficiency virus type 1 major splice donor",19
